valid_time,u10,v10,t2m,tp,latitude,longitude
2020-01-04 17:00:00,0.03894043,1.5001831,297.22522,0.0,10.75,106.25
2020-01-04 18:00:00,0.20909119,1.123764,296.63086,0.0,10.75,106.25
2020-01-04 19:00:00,0.45948792,1.2248077,296.24512,0.0,10.75,106.25
2020-01-04 20:00:00,0.31819153,1.3098297,295.6469,0.0,10.75,106.25
2020-01-04 21:00:00,-0.47755432,1.2157593,295.985,0.0,10.75,106.25
2020-01-04 22:00:00,-0.9891052,0.26654053,295.76935,0.0,10.75,106.25
2020-01-04 23:00:00,-1.049469,-0.07556152,296.19046,0.0,10.75,106.25
2020-01-05 00:00:00,-0.5894928,-0.21810913,296.10504,0.0,10.75,106.25
2020-01-05 01:00:00,-0.60679626,0.08013916,296.80127,0.0,10.75,106.25
2020-01-05 02:00:00,-0.6537628,-0.21772766,299.4371,1.6212463e-05,10.75,106.25
2020-01-05 03:00:00,-0.071448326,-0.9145508,300.2618,8.010864e-05,10.75,106.25
2020-01-05 04:00:00,0.3711853,-1.6401367,300.52325,7.1525574e-05,10.75,106.25
2020-01-05 05:00:00,0.642395,-1.7195129,300.46198,1.9073486e-05,10.75,106.25
2020-01-05 06:00:00,0.7642212,-1.5736237,302.25867,2.8133392e-05,10.75,106.25
2020-01-05 07:00:00,0.7262573,-1.4769135,302.5606,0.0,10.75,106.25
2020-01-05 08:00:00,0.49771118,-1.2480927,303.27618,0.0,10.75,106.25
2020-01-05 09:00:00,0.19145203,-1.1711884,303.827,0.0,10.75,106.25
2020-01-05 10:00:00,0.17701721,-0.758255,302.29932,0.0,10.75,106.25
2020-01-05 11:00:00,0.30133057,-0.94906616,300.07977,0.0,10.75,106.25
2020-01-05 12:00:00,0.18252563,0.31614685,299.71686,0.0,10.75,106.25
2020-01-05 13:00:00,0.034866333,1.7306671,298.61108,0.0,10.75,106.25
2020-01-05 14:00:00,-0.4003296,1.8721008,297.578,0.0,10.75,106.25
2020-01-05 15:00:00,-0.7735748,2.2466278,297.68945,0.0,10.75,106.25
2020-01-05 16:00:00,-0.6538391,2.1734009,297.659,0.0,10.75,106.25
2020-01-05 17:00:00,-0.39065552,1.8059387,296.66882,0.0,10.75,106.25
2020-01-05 18:00:00,-0.1699524,1.4602966,295.77942,0.0,10.75,106.25
2020-01-05 19:00:00,-0.03981018,1.4717255,295.446,0.0,10.75,106.25
2020-01-05 20:00:00,0.09422302,1.4382019,294.67923,0.0,10.75,106.25
2020-01-05 21:00:00,0.20353699,1.6015015,294.79907,0.0,10.75,106.25
2020-01-05 22:00:00,0.9169769,1.0322418,295.0361,0.0,10.75,106.25
2020-01-05 23:00:00,0.8549957,-0.11439514,295.05878,0.0,10.75,106.25
2020-01-06 00:00:00,1.2402344,-1.1612701,296.17596,0.0,10.75,106.25
2020-01-06 01:00:00,0.9646301,-1.1464844,297.5735,0.0,10.75,106.25
2020-01-06 02:00:00,0.7844696,-1.1644897,299.6886,0.0,10.75,106.25
2020-01-06 03:00:00,0.9723053,-1.1886292,301.21594,0.0,10.75,106.25
2020-01-06 04:00:00,1.0895996,-1.4066162,301.92847,0.0,10.75,106.25
2020-01-06 05:00:00,0.99053955,-1.7160034,303.24854,0.0,10.75,106.25
2020-01-06 06:00:00,0.6834259,-1.7881012,305.03784,0.0,10.75,106.25
2020-01-06 07:00:00,-0.38581848,-1.4217072,305.21588,2.861023e-06,10.75,106.25
2020-01-06 08:00:00,-1.1536255,-1.2943878,304.8191,0.0,10.75,106.25
2020-01-06 09:00:00,-1.2873383,-1.4446564,304.93494,0.0,10.75,106.25
2020-01-06 10:00:00,-0.7724304,-0.77804565,304.07437,0.0,10.75,106.25
2020-01-06 11:00:00,-1.5125427,-1.1242523,302.2209,0.0,10.75,106.25
2020-01-06 12:00:00,-1.9136047,0.04750061,300.80328,0.0,10.75,106.25
2020-01-06 13:00:00,-1.5032806,1.2847748,300.424,0.0,10.75,106.25
2020-01-06 14:00:00,-1.6378479,2.1907501,300.69507,0.0,10.75,106.25
2020-01-06 15:00:00,-1.5140991,2.1035461,299.25134,0.0,10.75,106.25
2020-01-06 16:00:00,-1.2998505,1.7614899,298.89218,0.0,10.75,106.25
2020-01-06 17:00:00,-0.8268585,1.4651642,298.47644,0.0,10.75,106.25
2020-01-06 18:00:00,-0.3358307,1.267456,297.78024,0.0,10.75,106.25
2020-01-06 19:00:00,-0.000289917,1.3734436,297.3975,0.0,10.75,106.25
2020-01-06 20:00:00,-0.056289673,1.4515533,296.93063,0.0,10.75,106.25
2020-01-06 21:00:00,-0.3985901,1.3131714,296.93365,0.0,10.75,106.25
2020-01-06 22:00:00,-0.53126526,1.1764221,296.03528,0.0,10.75,106.25
2020-01-06 23:00:00,-1.2004852,1.0702362,296.05386,0.0,10.75,106.25
2020-01-07 00:00:00,-1.2771454,0.48457336,297.66974,0.0,10.75,106.25
2020-01-07 01:00:00,-0.9439087,-0.18267822,298.87686,0.0,10.75,106.25
2020-01-07 02:00:00,-0.8646698,-0.4103241,301.32715,0.0,10.75,106.25
2020-01-07 03:00:00,-0.6238098,-0.52682495,302.27524,0.0,10.75,106.25
2020-01-07 04:00:00,-0.7337189,-0.45776367,302.90698,1.9550323e-05,10.75,106.25
2020-01-07 05:00:00,-0.715683,-0.5689392,304.6571,9.536743e-06,10.75,106.25
2020-01-07 06:00:00,-1.0772858,-0.5917816,305.05096,0.0,10.75,106.25
2020-01-07 07:00:00,-1.3371124,-0.64315796,305.7338,6.67572e-06,10.75,106.25
2020-01-07 08:00:00,-1.4624329,-0.7402954,305.40308,9.536743e-07,10.75,106.25
2020-01-07 09:00:00,-1.169632,-0.8744812,305.43942,3.8146973e-06,10.75,106.25
2020-01-07 10:00:00,-0.8216553,-0.31254578,303.65573,1.9073486e-06,10.75,106.25
2020-01-07 11:00:00,-0.36799622,0.798996,303.23364,4.7683716e-06,10.75,106.25
2020-01-07 12:00:00,-0.16226196,1.5210571,301.82938,4.863739e-05,10.75,106.25
2020-01-07 13:00:00,-0.32365417,1.9944153,300.53516,0.0,10.75,106.25
2020-01-07 14:00:00,-0.53685,2.2179718,300.2373,0.0,10.75,106.25
2020-01-07 15:00:00,-0.7203064,2.1371002,300.78247,7.6293945e-06,10.75,106.25
2020-01-07 16:00:00,-1.1396637,2.01445,300.58295,1.04904175e-05,10.75,106.25
2020-01-07 17:00:00,-1.3660736,1.7075958,298.89606,2.002716e-05,10.75,106.25
2020-01-07 18:00:00,-1.4265442,1.49823,298.77084,2.9563904e-05,10.75,106.25
2020-01-07 19:00:00,-1.240799,1.3682861,298.63776,3.8146973e-06,10.75,106.25
2020-01-07 20:00:00,-1.115509,1.0678558,298.11658,7.6293945e-06,10.75,106.25
2020-01-07 21:00:00,-1.2916718,0.8611908,298.31583,0.0,10.75,106.25
2020-01-07 22:00:00,-1.1270447,0.7492523,297.78357,0.0,10.75,106.25
2020-01-07 23:00:00,-1.2654114,0.280838,297.65442,0.0,10.75,106.25
2020-01-08 00:00:00,-1.7814789,-0.522583,298.59244,0.0,10.75,106.25
2020-01-08 01:00:00,-1.4710541,-1.102356,300.05307,0.0,10.75,106.25
2020-01-08 02:00:00,-1.4336548,-1.771164,301.80652,0.0,10.75,106.25
2020-01-08 03:00:00,-1.2116394,-2.2262268,302.64575,0.0,10.75,106.25
2020-01-08 04:00:00,-1.2499695,-2.4278564,303.40887,4.2915344e-06,10.75,106.25
